implementation,scenario_id,question,generated_answer,ground_truth_answer,supporting_documents,manual_score,manual_label,manual_notes
basic,b1,What is the first-response SLA for a Sev-1 support incident?,The first-response SLA for a Sev-1 support incident is 15 minutes. (Source: TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx),Sev-1 first-response target is 15 minutes (measured from correct severity classification).,VAL-CS-001_Severity_Matrix.docx | TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,1.0,correct,Correct: Sev-1 first-response target is 15 minutes.
basic,b2,What steps must be completed before a new employee is considered ready for day one at OrchestrAI?,"According to the Day-One Onboarding Checklist (VAL-HR-001_Day_One_Onboarding_Checklist.docx), the following steps must be completed before a new employee is considered ready for day one:

1. Employee record created in PeopleCore
2. Laptop and baseline tools requested from IT
3. Badge / facility access request initiated by People Ops + Workplace (for office-based staff)
4. Role-based access submitted through AccessHub by Manager
5. Orientation invite sent by People Ops (including time zone and meeting link)
6. Manager ramp plan confirmed by Hiring manager

These tasks must be completed within the specified timeframe, with some tasks having a due date of T-5 business days, T-4 business days, or T-3 business days before day one.

Source: VAL-HR-001_Day_One_Onboarding_Checklist.docx","Employee record created in PeopleCore.
Laptop and baseline tools requested.
Badge / facility access request initiated (office-based staff).
Role-based access submitted through AccessHub.
Orientation invite sent (time zone + meeting link).
Manager ramp plan confirmed (first-week schedule visible).",VAL-HR-001_Day_One_Onboarding_Checklist.docx,1.0,correct,Matches the Day-One Onboarding Checklist pre-start validation tasks.
basic,b3,"A new engineer starts on Monday, but their laptop has not arrived and their required access is still pending. Which teams are involved and what should happen next?","Based on the provided context, it appears that there are several teams involved in the process of provisioning a new laptop for an employee.

The hiring manager through the onboarding workflow syncs into AtlasDesk after the employee record is created (Source: VAL-IT-001_Laptop_Provisioning_FAQ.docx). This suggests that the hiring manager is responsible for initiating the request for a new laptop.

However, it seems that there may be an issue with the timely delivery of the laptop and access to required systems. According to the Day-one completion rules (Source: VAL-HR-001_Day_One_Onboarding_Checklist.docx), any missing prerequisite that affects security, payroll, or access must be escalated the same day.

In this case, it appears that IT is responsible for staging a device and ensuring that the employee has access to required systems. However, since the laptop has not arrived and access is still pending, it is likely that there are issues with the provisioning process.

The teams involved in this situation would include:

* The hiring manager: Responsible for initiating the request for a new laptop through the onboarding workflow.
* IT: Responsible for staging a device and ensuring that the employee has access to required systems. They may need to escalate the issue to other teams, such as Procurement or Engineering, if there are problems with delivery or access.

The next steps would depend on the specific circumstances of the situation. However, based on the provided context, it appears that IT should be notified of the issue and they will likely need to work with other teams to resolve the problem and ensure that the employee has a functioning laptop and access to required systems by their start date.","Teams: IT Service Desk Lead (rush start within 72 hours), Regional IT / Logistics (shipment delay), Asset Coordinator + Procurement (if requested model unavailable), and the hiring manager/manager (notifications + access request via AccessHub).
Next: escalate immediately per the Decision & Escalation Reference. For a start within 72 hours with no assigned device, the IT Service Desk Lead notifies the hiring manager and regional IT manager. If this is a shipment delay/damaged delivery, Regional IT / Logistics owns and escalates when delivery risk affects the start date. If the model is unavailable in stock, the Asset Coordinator escalates to Procurement. Access blockers should be escalated the same day.",VAL-IT-001_Laptop_Provisioning_FAQ.docx | VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.5,partially_correct,"Identifies some involved parties (hiring manager, IT) and escalation need, but misses the specific owners/triggers (IT Service Desk Lead within 72h; Regional IT/Logistics for shipment delay; Asset Coordinator→Procurement) and adds speculative teams (e.g., Engineering)."
basic,b4,Can OrchestrAI make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk?,"According to VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx, yes, OrchestrAI can make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk. The memo states that emergency purchases may proceed when waiting for the full standard workflow would create material operational, security, or customer impact.

Specifically, it mentions that ""A delay would create a customer outage, security exposure, or warehouse-operational failure"" as one of the exception criteria for emergency procurement. Additionally, it requires a business justification and impact statement, approval record, and follow-up PO/reconciliation to be documented after the fact.

Document ID: VAL-FIN-005   |   Department: Finance and Procurement Leadership","Yes, via an emergency procurement exception when (1) delay would create a customer outage, security exposure, or warehouse-operational failure, and (2) the standard approval path cannot complete in time to avoid material harm. A named executive or delegated approver must accept accountability. The requester must document the business justification/impact, and Procurement + Finance must complete a follow-up PO/reconciliation.",VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx,0.5,partially_correct,"Partly correct: identifies the emergency exception and documentation/follow-up, but omits the explicit requirement that a named executive or delegated approver must accept accountability."
basic,b5,"A customer renewal is at risk because support cases are recurring, a requested feature is still unavailable, and replacement hardware is delayed. What should OrchestrAI do next, and which teams must be involved?","Based on the provided context, specifically from [Source: TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx], when a customer renewal is at risk due to recurring support cases, an unavailable requested feature, and delayed replacement hardware, OrchestrAI should follow the ""Risk Intervention"" stage of their operating workflow.

According to the handbook, this stage is triggered by a health score drop or executive complaint received. The primary owner for this stage is the CS manager, who must create a recovery plan with named owners and schedule an executive cadence.

Therefore, the next steps OrchestrAI should take are:

1. Identify the root causes of the recurring support cases, unavailable feature, and delayed hardware replacement.
2. Create a recovery plan to address these issues, including assigning specific tasks and responsibilities to team members.
3. Schedule regular updates with the customer's executive stakeholders to ensure they are informed about the progress towards resolving these issues.

The teams that must be involved in this process include:

1. Customer Success (CS) team: To lead the recovery effort and manage communication with the customer.
2. Support team: To investigate and resolve the recurring support cases.
3. Product/Engineering team: To provide updates on the availability of requested features and to expedite the delivery of replacement hardware.
4. Logistics team: To ensure timely delivery of replacement hardware.

It is essential for OrchestrAI to document all actions taken during this recovery process, including communication with the customer, to maintain transparency and accountability.","Move to Risk intervention: the CS manager owns a recovery plan with named owners, customer-facing milestones, and an executive update cadence. Support addresses recurring cases; escalate product defects to Engineering (and Product for roadmap/policy decisions); involve Logistics for physical-device blockers; involve Sales leadership if contract/commercial exposure becomes material.",TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,1.0,correct,"Correct: identifies Risk intervention, CS manager ownership, recovery plan with named owners, and executive cadence; includes the relevant cross-functional teams."
vectordb,v1,What is the first-response SLA for a Sev-1 support incident?,"The target first-response SLA for priority cases, specifically Sev-1 incidents, is 15 minutes. This is stated in multiple sources:

* TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx: ""Baseline targets are 15 minutes for Sev-1...""
* VAL-CS-001_Severity_Matrix.docx: ""Sev-1, **Response target** = 15 minutes.""
* TEAMQA-IT-001_OrchestrAI_IT_Workplace_and_Service_Desk_Handbook.docx: ""P1, **First Response** = 15 minutes.""",Sev-1 first-response target is 15 minutes (measured from correct severity classification).,VAL-CS-001_Severity_Matrix.docx | TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,1.0,correct,Correct and supported by severity/support references (15 minutes).
vectordb,v2,What steps must be completed before a new employee is considered ready for day one at OrchestrAI?,"According to the Day-One Onboarding Checklist (VAL-HR-001_Day_One_Onboarding_Checklist.docx), the following steps must be completed before a new employee is considered ready for day one:

1. The new hire must be able to sign in with baseline credentials and MFA.
2. Payroll and tax forms must be complete or formally escalated.
3. The manager must confirm first-week priorities and required meetings.
4. Any missing prerequisite that affects security, payroll, or access must be escalated the same day.

Additionally, according to the HR and People Operations Handbook (TEAMQA-HR-001_OrchestrAI_HR_and_People_Operations_Handbook.docx), a new hire is considered onboarding-complete after required documents are recorded, payroll setup is confirmed, IT has completed core access and device delivery, orientation tasks are finished, and the hiring manager has acknowledged the role-specific ramp plan.

Document citations:

* VAL-HR-001_Day_One_Onboarding_Checklist.docx
* TEAMQA-HR-001_OrchestrAI_HR_and_People_Operations_Handbook.docx","Employee record created in PeopleCore.
Laptop and baseline tools requested.
Badge / facility access request initiated (office-based staff).
Role-based access submitted through AccessHub.
Orientation invite sent (time zone + meeting link).
Manager ramp plan confirmed (first-week schedule visible).",VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.5,partially_correct,"Partly correct: lists day-one completion rules/onboarding-complete criteria but misses the checklist pre-start validation tasks (PeopleCore record, laptop request, badge, AccessHub, orientation invite, ramp plan)."
vectordb,v3,"A new engineer starts on Monday, but their laptop has not arrived and their required access is still pending. Which teams are involved and what should happen next?","The retrieved context does not explicitly contain the rule or exception needed to answer the question about which teams are involved and what should happen next in this specific situation.

However, based on the provided information, we can infer that the following teams may be involved:

* IT (for laptop provisioning)
* People Ops (for employee record creation and badge/facility access requests)
* Endpoint Engineering (for staging devices with non-standard software or admin rights)

As for what should happen next, it is recommended to escalate the issue to the relevant team(s) responsible for resolving the problem. In this case, IT may need to investigate the delay in laptop delivery, while People Ops and/or Endpoint Engineering may be involved in resolving the access request.

However, please note that the retrieved context does not provide explicit instructions or escalation procedures for this specific situation.","Teams: IT Service Desk Lead (rush start within 72 hours), Regional IT / Logistics (shipment delay), Asset Coordinator + Procurement (if requested model unavailable), and the hiring manager/manager (notifications + access request via AccessHub).
Next: escalate immediately per the Decision & Escalation Reference. For a start within 72 hours with no assigned device, the IT Service Desk Lead notifies the hiring manager and regional IT manager. If this is a shipment delay/damaged delivery, Regional IT / Logistics owns and escalates when delivery risk affects the start date. If the model is unavailable in stock, the Asset Coordinator escalates to Procurement. Access blockers should be escalated the same day.",VAL-IT-001_Laptop_Provisioning_FAQ.docx | VAL-HR-001_Day_One_Onboarding_Checklist.docx,0.0,incorrect,"Incorrect/incomplete: claims the documents lack explicit escalation procedures, but VAL-IT-001 provides a Decision & Escalation Reference with primary owners and triggers."
vectordb,v4,Can OrchestrAI make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk?,"According to VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx, yes. An emergency procurement exception can be made if a standard approval path cannot complete in time to avoid material harm, which includes a warehouse-operational failure such as an outage. Additionally, a named executive or delegated approver must accept accountability for the exception.","Yes, via an emergency procurement exception when (1) delay would create a customer outage, security exposure, or warehouse-operational failure, and (2) the standard approval path cannot complete in time to avoid material harm. A named executive or delegated approver must accept accountability. The requester must document the business justification/impact, and Procurement + Finance must complete a follow-up PO/reconciliation.",VAL-FIN-005_Emergency_Procurement_Exception_Memo.docx,1.0,correct,Correct: emergency exception applies and includes the required executive/delegated accountability condition.
vectordb,v5,"A customer renewal is at risk because support cases are recurring, a requested feature is still unavailable, and replacement hardware is delayed. What should OrchestrAI do next, and which teams must be involved?","Based on the provided context, specifically from [Source: TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx], common risk indicators for renewal risk include unresolved critical defects, repeated SLA misses, poor adoption of core workflows, stakeholder turnover, delayed site expansion, and negative executive sentiment.

Given the situation described:

* Recurring support cases indicate potential issues with incident handling or resolution.
* The requested feature still being unavailable suggests a possible application defect or API dependency failure, which may require escalation to Engineering.
* Delayed replacement hardware indicates potential issues with logistics or procurement.

OrchestrAI should next assess and address these specific issues. 

The teams that must be involved are:

* Support: To review and resolve the recurring support cases and ensure proper incident handling.
* Engineering: To investigate and potentially escalate the unresolved critical defects and requested feature availability issues.
* Logistics/Procurement: To expedite the replacement hardware delivery.

Additionally, Customer Success should be informed to assess the overall customer health score, churn risk, executive concern, and recovery planning.","Move to Risk intervention: the CS manager owns a recovery plan with named owners, customer-facing milestones, and an executive update cadence. Support addresses recurring cases; escalate product defects to Engineering (and Product for roadmap/policy decisions); involve Logistics for physical-device blockers; involve Sales leadership if contract/commercial exposure becomes material.",TEAMQA-CS-001_OrchestrAI_Customer_Success_and_Support_Handbook.docx,0.5,partially_correct,Partly correct: identifies relevant teams and issues but does not clearly state the required next step/workflow (Risk intervention with a recovery plan + exec cadence).
