implementation,scenario_id,question,generated_answer,retrieved_sources,retrieved_departments,retrieved_contexts,num_retrieved_docs,retriever_top_k,reranker_top_k,indexing_time_s,retrieval_time_s,generation_time_s
vectordb,v1,What is the first-response SLA for a Sev-1 support incident?,The retrieved context is insufficient to answer the question.,,,,0,10,,0.0003,0.4441,0.2115
vectordb,v2,What steps must be completed before a new employee is considered ready for day one at OrchestrAI?,The retrieved context is insufficient to provide a complete answer to the question.,,,,0,10,,0.0003,0.0153,0.2446
vectordb,v3,"A new engineer starts on Monday, but their laptop has not arrived and their required access is still pending. Which teams are involved and what should happen next?","The retrieved context is insufficient to provide a complete answer to the question. However, it can be inferred that the IT department is likely involved in the process of providing the laptop and access to the new engineer. 

A possible next step could be to contact the IT department to report the issue and request assistance. However, this is not explicitly stated in the retrieved context.",,,,0,10,,0.0003,0.0151,1.0778
vectordb,v4,Can OrchestrAI make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk?,The retrieved context is insufficient to answer the question directly.,,,,0,10,,0.0003,0.0151,0.199
vectordb,v5,"A customer renewal is at risk because support cases are recurring, a requested feature is still unavailable, and replacement hardware is delayed. What should OrchestrAI do next, and which teams must be involved?","The retrieved context is insufficient to provide a specific answer to the question. It does not contain any information about OrchestrAI's policies, procedures, or teams involved in customer renewal management.",,,,0,10,,0.0003,0.0153,0.5652
reranker,r1,What is the first-response SLA for a Sev-1 support incident?,The retrieved context is insufficient to answer the question.,,,,0,20,10,0.0002,0.7945,0.2054
reranker,r2,What steps must be completed before a new employee is considered ready for day one at OrchestrAI?,The retrieved context is insufficient to provide a complete answer to the question.,,,,0,20,10,0.0002,0.0153,0.2395
reranker,r3,"A new engineer starts on Monday, but their laptop has not arrived and their required access is still pending. Which teams are involved and what should happen next?","The retrieved context is insufficient to provide a complete answer to the question. However, it can be inferred that the IT department is likely involved in the process of providing the laptop and access to the new engineer. 

A possible next step could be to contact the IT department to report the issue and request assistance. However, this is not explicitly stated in the retrieved context.",,,,0,20,10,0.0002,0.015,1.0719
reranker,r4,Can OrchestrAI make an urgent hardware purchase without following the normal PO workflow if a warehouse outage is at risk?,The retrieved context is insufficient to answer the question directly.,,,,0,20,10,0.0002,0.0153,0.1981
reranker,r5,"A customer renewal is at risk because support cases are recurring, a requested feature is still unavailable, and replacement hardware is delayed. What should OrchestrAI do next, and which teams must be involved?","The retrieved context is insufficient to provide a specific answer to the question. It does not contain any information about OrchestrAI's policies, procedures, or teams involved in customer renewal management.",,,,0,20,10,0.0002,0.0155,0.5652
